file_id_sample_to_clone,file_id_sample_to_compare,text
tess_OAF_disgust_chalk,tess_OAF_disgust_chalk,Say the word turn.
tess_OAF_disgust_chat,tess_OAF_disgust_chat,Say the word live.
tess_OAF_disgust_check,tess_OAF_disgust_check,Say the word match.
tess_OAF_disgust_cheek,tess_OAF_disgust_cheek,Say the word calm.
tess_OAF_disgust_chief,tess_OAF_disgust_chief,Say the word hire.
tess_OAF_disgust_choice,tess_OAF_disgust_choice,Say the word sure.
tess_OAF_disgust_cool,tess_OAF_disgust_cool,Say the word kill.
tess_OAF_disgust_dab,tess_OAF_disgust_dab,Say the word tip.
tess_OAF_disgust_date,tess_OAF_disgust_date,Say the word jug.
tess_OAF_disgust_dead,tess_OAF_disgust_dead,Say the word rot.
tess_OAF_disgust_death,tess_OAF_disgust_death,Say the word third.
tess_OAF_disgust_deep,tess_OAF_disgust_deep,Say the word team.
tess_OAF_disgust_dime,tess_OAF_disgust_dime,Say the word sell.
tess_OAF_disgust_dip,tess_OAF_disgust_dip,Say the word mouse.
tess_OAF_disgust_ditch,tess_OAF_disgust_ditch,Say the word gin.
tess_OAF_disgust_dodge,tess_OAF_disgust_dodge,Say the word luck.
tess_OAF_disgust_dog,tess_OAF_disgust_dog,Say the word road.
tess_OAF_disgust_doll,tess_OAF_disgust_doll,Say the word bath.
tess_OAF_disgust_door,tess_OAF_disgust_door,Say the word puff.
tess_OAF_disgust_fail,tess_OAF_disgust_fail,Say the word room.
tess_OAF_disgust_fall,tess_OAF_disgust_fall,Say the word tell.
tess_OAF_disgust_far,tess_OAF_disgust_far,Say the word five.
tess_OAF_disgust_fat,tess_OAF_disgust_fat,Say the word tire.
tess_OAF_disgust_fit,tess_OAF_disgust_fit,Say the word wire.
tess_OAF_disgust_five,tess_OAF_disgust_five,Say the word sub.
tess_OAF_disgust_food,tess_OAF_disgust_food,Say the word lore.
tess_OAF_disgust_gap,tess_OAF_disgust_gap,Say the word laud.
tess_OAF_disgust_gas,tess_OAF_disgust_gas,Say the word take.
tess_OAF_disgust_gaze,tess_OAF_disgust_gaze,Say the word love.
tess_OAF_disgust_germ,tess_OAF_disgust_germ,Say the word lose.
tess_OAF_disgust_get,tess_OAF_disgust_get,Say the word mill.
tess_OAF_disgust_gin,tess_OAF_disgust_gin,Say the word when.
tess_OAF_disgust_goal,tess_OAF_disgust_goal,Say the word gas.
tess_OAF_disgust_good,tess_OAF_disgust_good,Say the word home.
tess_OAF_disgust_goose,tess_OAF_disgust_goose,Say the word third.
tess_OAF_disgust_gun,tess_OAF_disgust_gun,Say the word third.
tess_OAF_disgust_half,tess_OAF_disgust_half,Say the word voice.
tess_OAF_disgust_hall,tess_OAF_disgust_hall,Say the word gap.
tess_OAF_disgust_hash,tess_OAF_disgust_hash,Say the word rush.
tess_OAF_disgust_hate,tess_OAF_disgust_hate,Say the word limb.
tess_OAF_disgust_have,tess_OAF_disgust_have,Say the word doll.
tess_OAF_disgust_haze,tess_OAF_disgust_haze,Say the word pain.
tess_OAF_disgust_hire,tess_OAF_disgust_hire,Say the word should.
tess_OAF_disgust_hit,tess_OAF_disgust_hit,Say the word pass.
tess_OAF_disgust_hole,tess_OAF_disgust_hole,Say the word mode.
tess_OAF_disgust_home,tess_OAF_disgust_home,Say the word wire.
tess_OAF_disgust_hurl,tess_OAF_disgust_hurl,Say the word luck.
tess_OAF_disgust_hush,tess_OAF_disgust_hush,Say the word white.
tess_OAF_disgust_jail,tess_OAF_disgust_jail,Say the word neat.
tess_OAF_disgust_jar,tess_OAF_disgust_jar,Say the word soap.
tess_OAF_disgust_join,tess_OAF_disgust_join,Say the word life.
tess_OAF_disgust_judge,tess_OAF_disgust_judge,Say the word dime.
tess_OAF_disgust_jug,tess_OAF_disgust_jug,Say the word learn.
tess_OAF_disgust_juice,tess_OAF_disgust_juice,Say the word nice.
tess_OAF_disgust_keen,tess_OAF_disgust_keen,Say the word five.
tess_OAF_disgust_keep,tess_OAF_disgust_keep,Say the word near.
tess_OAF_disgust_keg,tess_OAF_disgust_keg,Say the word should.
tess_OAF_disgust_kick,tess_OAF_disgust_kick,Say the word should.
tess_OAF_disgust_kill,tess_OAF_disgust_kill,Say the word cool.
tess_OAF_disgust_king,tess_OAF_disgust_king,Say the word third.
tess_OAF_disgust_kite,tess_OAF_disgust_kite,Say the word south.
tess_OAF_disgust_knock,tess_OAF_disgust_knock,Say the word juice.
tess_OAF_disgust_late,tess_OAF_disgust_late,Say the word cab.
tess_OAF_disgust_laud,tess_OAF_disgust_laud,Say the word dime.
tess_OAF_disgust_lean,tess_OAF_disgust_lean,Say the word ditch.
tess_OAF_disgust_learn,tess_OAF_disgust_learn,Say the word yes.
tess_OAF_disgust_lease,tess_OAF_disgust_lease,Say the word bar.
tess_OAF_disgust_lid,tess_OAF_disgust_lid,Say the word gaze.
tess_OAF_disgust_life,tess_OAF_disgust_life,Say the word bean.
tess_OAF_disgust_limb,tess_OAF_disgust_limb,Say the word live.
tess_OAF_disgust_live,tess_OAF_disgust_live,Say the word good.
tess_OAF_disgust_loaf,tess_OAF_disgust_loaf,Say the word lid.
tess_OAF_disgust_long,tess_OAF_disgust_long,Say the word judge.
tess_OAF_disgust_lore,tess_OAF_disgust_lore,Say the word live.
tess_OAF_disgust_lose,tess_OAF_disgust_lose,Say the word hire.
tess_OAF_disgust_lot,tess_OAF_disgust_lot,Say the word merge.
tess_OAF_disgust_love,tess_OAF_disgust_love,Say the word death.
tess_OAF_disgust_luck,tess_OAF_disgust_luck,Say the word tool.
tess_OAF_disgust_make,tess_OAF_disgust_make,Say the word raid.
tess_OAF_disgust_match,tess_OAF_disgust_match,Say the word sheep.
tess_OAF_disgust_merge,tess_OAF_disgust_merge,Say the word rough.
tess_OAF_disgust_mess,tess_OAF_disgust_mess,Say the word should.
tess_OAF_disgust_met,tess_OAF_disgust_met,Say the word check.
tess_OAF_disgust_mill,tess_OAF_disgust_mill,Say the word red.
tess_OAF_disgust_mob,tess_OAF_disgust_mob,Say the word tell.
tess_OAF_disgust_mode,tess_OAF_disgust_mode,Say the word size.
tess_OAF_disgust_mood,tess_OAF_disgust_mood,Say the word perch.
tess_OAF_disgust_moon,tess_OAF_disgust_moon,Say the word bite.
tess_OAF_disgust_mop,tess_OAF_disgust_mop,Say the word jug.
tess_OAF_disgust_mouse,tess_OAF_disgust_mouse,Say the word match.
tess_OAF_disgust_nag,tess_OAF_disgust_nag,Say the word fail.
tess_OAF_disgust_name,tess_OAF_disgust_name,Say the word sub.
tess_OAF_disgust_near,tess_OAF_disgust_near,Say the word hall.
tess_OAF_disgust_neat,tess_OAF_disgust_neat,Say the word should.
tess_OAF_disgust_nice,tess_OAF_disgust_nice,Say the word pick.
tess_OAF_disgust_note,tess_OAF_disgust_note,Say the word juice.
tess_OAF_disgust_numb,tess_OAF_disgust_numb,Say the word hush.
tess_OAF_disgust_pad,tess_OAF_disgust_pad,Say the word sub.
tess_OAF_disgust_page,tess_OAF_disgust_page,Say the word thin.
tess_OAF_disgust_pain,tess_OAF_disgust_pain,Say the word half.
tess_OAF_disgust_pass,tess_OAF_disgust_pass,Say the word pole.
tess_OAF_disgust_pearl,tess_OAF_disgust_pearl,Say the word mill.
tess_OAF_disgust_peg,tess_OAF_disgust_peg,Say the word sub.
tess_OAF_disgust_perch,tess_OAF_disgust_perch,Say the word chief.
tess_OAF_disgust_phone,tess_OAF_disgust_phone,Say the word lean.
tess_OAF_disgust_pick,tess_OAF_disgust_pick,Say the word tip.
tess_OAF_disgust_pike,tess_OAF_disgust_pike,Say the word pearl.
tess_OAF_disgust_pole,tess_OAF_disgust_pole,Say the word back.
tess_OAF_disgust_pool,tess_OAF_disgust_pool,Say the word when.
tess_OAF_disgust_puff,tess_OAF_disgust_puff,Say the word hate.
tess_OAF_disgust_rag,tess_OAF_disgust_rag,Say the word nag.
tess_OAF_disgust_raid,tess_OAF_disgust_raid,Say the word wife.
tess_OAF_disgust_rain,tess_OAF_disgust_rain,Say the word hole.
tess_OAF_disgust_raise,tess_OAF_disgust_raise,Say the word thumb.
tess_OAF_disgust_rat,tess_OAF_disgust_rat,Say the word keg.
tess_OAF_disgust_reach,tess_OAF_disgust_reach,Say the word learn.
tess_OAF_disgust_read,tess_OAF_disgust_read,Say the word raise.
tess_OAF_disgust_red,tess_OAF_disgust_red,Say the word time.
tess_OAF_disgust_ring,tess_OAF_disgust_ring,Say the word page.
tess_OAF_disgust_ripe,tess_OAF_disgust_ripe,Say the word wag.
tess_OAF_disgust_road,tess_OAF_disgust_road,Say the word turn.
tess_OAF_disgust_room,tess_OAF_disgust_room,Say the word page.
tess_OAF_disgust_rose,tess_OAF_disgust_rose,Say the word room.
tess_OAF_disgust_rot,tess_OAF_disgust_rot,Say the word yearn.
tess_OAF_disgust_rough,tess_OAF_disgust_rough,Say the word five.
tess_OAF_disgust_rush,tess_OAF_disgust_rush,Say the word met.
tess_OAF_disgust_said,tess_OAF_disgust_said,Say the word room.
tess_OAF_disgust_sail,tess_OAF_disgust_sail,Say the word should.
tess_OAF_disgust_search,tess_OAF_disgust_search,Say the word rose.
tess_OAF_disgust_seize,tess_OAF_disgust_seize,Say the word death.
tess_OAF_disgust_sell,tess_OAF_disgust_sell,Say the word match.
tess_OAF_disgust_shack,tess_OAF_disgust_shack,Say the word pad.
tess_OAF_disgust_shall,tess_OAF_disgust_shall,Say the word learn.
tess_OAF_disgust_shawl,tess_OAF_disgust_shawl,Say the word rush.
tess_OAF_disgust_sheep,tess_OAF_disgust_sheep,Say the word rose.
tess_OAF_disgust_shirt,tess_OAF_disgust_shirt,Say the word ring.
tess_OAF_disgust_should,tess_OAF_disgust_should,Say the word gaze.
tess_OAF_disgust_shout,tess_OAF_disgust_shout,Say the word search.
tess_OAF_disgust_size,tess_OAF_disgust_size,Say the word lore.
tess_OAF_disgust_soap,tess_OAF_disgust_soap,Say the word road.
tess_OAF_disgust_soup,tess_OAF_disgust_soup,Say the word yes.
tess_OAF_disgust_sour,tess_OAF_disgust_sour,Say the word mill.
tess_OAF_disgust_south,tess_OAF_disgust_south,Say the word sail.
tess_OAF_disgust_sub,tess_OAF_disgust_sub,Say the word knock.
tess_OAF_disgust_such,tess_OAF_disgust_such,Say the word pearl.
tess_OAF_disgust_sure,tess_OAF_disgust_sure,Say the word kite.
tess_OAF_disgust_take,tess_OAF_disgust_take,Say the word keen.
tess_OAF_disgust_talk,tess_OAF_disgust_talk,Say the word book.
tess_OAF_disgust_tape,tess_OAF_disgust_tape,Say the word sail.
tess_OAF_disgust_team,tess_OAF_disgust_team,Say the word lid.
tess_OAF_disgust_tell,tess_OAF_disgust_tell,Say the word lid.
tess_OAF_disgust_thin,tess_OAF_disgust_thin,Say the word met.
tess_OAF_disgust_third,tess_OAF_disgust_third,Say the word rush.
tess_OAF_disgust_thought,tess_OAF_disgust_thought,Say the word lean.
tess_OAF_disgust_thumb,tess_OAF_disgust_thumb,Say the word time.
tess_OAF_disgust_time,tess_OAF_disgust_time,Say the word ton.
tess_OAF_disgust_tip,tess_OAF_disgust_tip,Say the word have.
tess_OAF_disgust_tire,tess_OAF_disgust_tire,Say the word such.
tess_OAF_disgust_ton,tess_OAF_disgust_ton,Say the word loaf.
tess_OAF_disgust_tool,tess_OAF_disgust_tool,Say the word five.
tess_OAF_disgust_tough,tess_OAF_disgust_tough,Say the word jug.
tess_OAF_disgust_turn,tess_OAF_disgust_turn,Say the word wash.
tess_OAF_disgust_vine,tess_OAF_disgust_vine,Say the word mess.
tess_OAF_disgust_voice,tess_OAF_disgust_voice,Say the word pool.
tess_OAF_disgust_void,tess_OAF_disgust_void,Say the word mode.
tess_OAF_disgust_vote,tess_OAF_disgust_vote,Say the word luck.
tess_OAF_disgust_wag,tess_OAF_disgust_wag,Say the word talk.
tess_OAF_disgust_walk,tess_OAF_disgust_walk,Say the word reach.
tess_OAF_disgust_wash,tess_OAF_disgust_wash,Say the word mouse.
tess_OAF_disgust_week,tess_OAF_disgust_week,Say the word keen.
tess_OAF_disgust_wheat,tess_OAF_disgust_wheat,Say the word death.
tess_OAF_disgust_when,tess_OAF_disgust_when,Say the word make.
tess_OAF_disgust_which,tess_OAF_disgust_which,Say the word sour.
tess_OAF_disgust_whip,tess_OAF_disgust_whip,Say the word choice.
tess_OAF_disgust_white,tess_OAF_disgust_white,Say the word lid.
tess_OAF_disgust_wife,tess_OAF_disgust_wife,Say the word read.
tess_OAF_disgust_wire,tess_OAF_disgust_wire,Say the word gaze.
tess_OAF_disgust_witch,tess_OAF_disgust_witch,Say the word tell.
tess_OAF_disgust_yearn,tess_OAF_disgust_yearn,Say the word chain.
tess_OAF_disgust_yes,tess_OAF_disgust_yes,Say the word cool.
tess_OAF_disgust_young,tess_OAF_disgust_young,Say the word pad.
tess_OAF_disgust_youth,tess_OAF_disgust_youth,Say the word wire.
tess_OAF_fear_back,tess_OAF_fear_back,Say the word mob.
tess_OAF_fear_bar,tess_OAF_fear_bar,Say the word rain.
tess_OAF_fear_base,tess_OAF_fear_base,Say the word talk.
tess_OAF_fear_bath,tess_OAF_fear_bath,Say the word death.
