id_sample_to_clone,id_sample_to_compare,text
JK_d13,JK_d15,The fish began to leap frantically on the surface of the small lake.
JK_d14,JK_d14,The tooth fairy forgot to come when Roger's tooth fell out.
JK_d15,JK_d15,We saw eight tiny icicles below our roof.
JK_f01,JK_f06,Jeff thought you argued in favor of a centrifuge purchase.
JK_f02,JK_f02,We saw eight tiny icicles below our roof.
JK_f03,JK_f06,The tooth fairy forgot to come when Roger's tooth fell out.
JK_f04,JK_f04,Kindergarten children decorate their classrooms for all holidays.
JK_f05,JK_f05,The tooth fairy forgot to come when Roger's tooth fell out.
JK_f06,JK_f06,Kindergarten children decorate their classrooms for all holidays.
JK_f07,JK_f07,Special task forces rescue hostages from kidnappers.
JK_f08,JK_f08,The fish began to leap frantically on the surface of the small lake.
JK_f09,JK_f09,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_f10,JK_f10,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_f11,JK_f15,Was she just naturally sloppy about everything but her physical appearance?
JK_f12,JK_f15,Kindergarten children decorate their classrooms for all holidays.
JK_f13,JK_f13,We saw eight tiny icicles below our roof.
JK_f14,JK_f14,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_f15,JK_f15,The sermon emphasized the need for affirmative action.
JK_h01,JK_h03,The easygoing zoologist relaxed throughout the voyage.
JK_h02,JK_h02,Each untimely income loss coincided with the breakdown of a heating system part.
JK_h03,JK_h03,The tooth fairy forgot to come when Roger's tooth fell out.
JK_h04,JK_h09,How much will it cost to do any necessary modernizing and redecorating?
JK_h05,JK_h15,How much will it cost to do any necessary modernizing and redecorating?
JK_h06,JK_h06,Was she just naturally sloppy about everything but her physical appearance?
JK_h07,JK_h07,A boring novel is a superb sleeping pill.
JK_h08,JK_h08,Cory and Trish played tag with beach balls for hours.
JK_h09,JK_h09,How much will it cost to do any necessary modernizing and redecorating?
JK_h10,JK_h10,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_h11,JK_h14,She had your dark suit in greasy wash water all year.
JK_h12,JK_h12,The fish began to leap frantically on the surface of the small lake.
JK_h13,JK_h13,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_h14,JK_h14,Cory and Trish played tag with beach balls for hours.
JK_h15,JK_h15,Don't ask me to carry an oily rag like that.
JK_n01,JK_n18,Don't ask me to carry an oily rag like that.
JK_n02,JK_n17,The sermon emphasized the need for affirmative action.
JK_n03,JK_n18,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_n04,JK_n28,The tooth fairy forgot to come when Roger's tooth fell out.
JK_n05,JK_n05,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_n06,JK_n22,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_n07,JK_n18,How much will it cost to do any necessary modernizing and redecorating?
JK_n08,JK_n08,Was she just naturally sloppy about everything but her physical appearance?
JK_n09,JK_n09,Jeff thought you argued in favor of a centrifuge purchase.
JK_n10,JK_n10,The easygoing zoologist relaxed throughout the voyage.
JK_n11,JK_n11,Was she just naturally sloppy about everything but her physical appearance?
JK_n12,JK_n12,She had your dark suit in greasy wash water all year.
JK_n13,JK_n18,Was she just naturally sloppy about everything but her physical appearance?
JK_n14,JK_n30,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_n15,JK_n28,The same shelter could be built into an embankment or below ground level.
JK_n16,JK_n18,Jeff thought you argued in favor of a centrifuge purchase.
JK_n17,JK_n17,She had your dark suit in greasy wash water all year.
JK_n18,JK_n18,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_n19,JK_n29,Each untimely income loss coincided with the breakdown of a heating system part.
JK_n20,JK_n29,The easygoing zoologist relaxed throughout the voyage.
JK_n21,JK_n24,The fish began to leap frantically on the surface of the small lake.
JK_n22,JK_n22,We saw eight tiny icicles below our roof.
JK_n23,JK_n23,Don't ask me to carry an oily rag like that.
JK_n24,JK_n24,A boring novel is a superb sleeping pill.
JK_n25,JK_n29,Each untimely income loss coincided with the breakdown of a heating system part.
JK_n26,JK_n30,She had your dark suit in greasy wash water all year.
JK_n27,JK_n30,Kindergarten children decorate their classrooms for all holidays.
JK_n28,JK_n28,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_n29,JK_n29,How much will it cost to do any necessary modernizing and redecorating?
JK_n30,JK_n30,Kindergarten children decorate their classrooms for all holidays.
JK_sa01,JK_sa06,The fish began to leap frantically on the surface of the small lake.
JK_sa02,JK_sa02,Was she just naturally sloppy about everything but her physical appearance?
JK_sa03,JK_sa06,Was she just naturally sloppy about everything but her physical appearance?
JK_sa04,JK_sa15,Special task forces rescue hostages from kidnappers.
JK_sa05,JK_sa05,The sermon emphasized the need for affirmative action.
JK_sa06,JK_sa06,Don't ask me to carry an oily rag like that.
JK_sa07,JK_sa07,The fish began to leap frantically on the surface of the small lake.
JK_sa08,JK_sa08,The fish began to leap frantically on the surface of the small lake.
JK_sa09,JK_sa09,Kindergarten children decorate their classrooms for all holidays.
JK_sa10,JK_sa10,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_sa11,JK_sa15,Jeff thought you argued in favor of a centrifuge purchase.
JK_sa12,JK_sa12,Kindergarten children decorate their classrooms for all holidays.
JK_sa13,JK_sa13,Jeff thought you argued in favor of a centrifuge purchase.
JK_sa14,JK_sa14,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_sa15,JK_sa15,Don't ask me to carry an oily rag like that.
JK_su01,JK_su03,Is a relaxed home atmosphere enough to help her outgrow these traits?
JK_su02,JK_su02,The tooth fairy forgot to come when Roger's tooth fell out.
JK_su03,JK_su03,A boring novel is a superb sleeping pill.
JK_su04,JK_su04,She had your dark suit in greasy wash water all year.
JK_su05,JK_su12,The tooth fairy forgot to come when Roger's tooth fell out.
JK_su06,JK_su13,The tooth fairy forgot to come when Roger's tooth fell out.
JK_su07,JK_su12,The sermon emphasized the need for affirmative action.
JK_su08,JK_su12,Each untimely income loss coincided with the breakdown of a heating system part.
JK_su09,JK_su09,Each untimely income loss coincided with the breakdown of a heating system part.
JK_su10,JK_su10,Was she just naturally sloppy about everything but her physical appearance?
JK_su11,JK_su11,Kindergarten children decorate their classrooms for all holidays.
JK_su12,JK_su12,Cory and Trish played tag with beach balls for hours.
JK_su13,JK_su13,The frightened child was gently subdued by his big brother.
JK_su14,JK_su15,"If Carol comes tomorrow, have her arrange for a meeting at two."
JK_su15,JK_su15,Don't ask me to carry an oily rag like that.
KL_a01,KL_a03,The sermon emphasized the need for affirmative action.
KL_a02,KL_a07,"If Carol comes tomorrow, have her arrange for a meeting at two."
KL_a03,KL_a03,Special task forces rescue hostages from kidnappers.
KL_a04,KL_a05,"If Carol comes tomorrow, have her arrange for a meeting at two."
KL_a05,KL_a05,Each untimely income loss coincided with the breakdown of a heating system part.
KL_a06,KL_a12,The easygoing zoologist relaxed throughout the voyage.
KL_a07,KL_a07,The frightened child was gently subdued by his big brother.
KL_a08,KL_a08,The sermon emphasized the need for affirmative action.
KL_a09,KL_a14,The tooth fairy forgot to come when Roger's tooth fell out.
KL_a10,KL_a10,A boring novel is a superb sleeping pill.
KL_a11,KL_a11,Kindergarten children decorate their classrooms for all holidays.
KL_a12,KL_a12,The fish began to leap frantically on the surface of the small lake.
KL_a13,KL_a14,Was she just naturally sloppy about everything but her physical appearance?
KL_a14,KL_a14,Special task forces rescue hostages from kidnappers.
KL_a15,KL_a15,Was she just naturally sloppy about everything but her physical appearance?
KL_d01,KL_d03,Military personnel are expected to obey government orders.
KL_d02,KL_d06,The easygoing zoologist relaxed throughout the voyage.
KL_d03,KL_d03,A boring novel is a superb sleeping pill.
KL_d04,KL_d04,The tooth fairy forgot to come when Roger's tooth fell out.
KL_d05,KL_d05,Each untimely income loss coincided with the breakdown of a heating system part.
KL_d06,KL_d06,The frightened child was gently subdued by his big brother.
KL_d07,KL_d12,Jeff thought you argued in favor of a centrifuge purchase.
KL_d08,KL_d08,The same shelter could be built into an embankment or below ground level.
KL_d09,KL_d09,Don't ask me to carry an oily rag like that.
KL_d10,KL_d10,Kindergarten children decorate their classrooms for all holidays.
KL_d11,KL_d15,Cory and Trish played tag with beach balls for hours.
KL_d12,KL_d12,The fish began to leap frantically on the surface of the small lake.
KL_d13,KL_d15,Military personnel are expected to obey government orders.
KL_d14,KL_d14,The frightened child was gently subdued by his big brother.
KL_d15,KL_d15,"If Carol comes tomorrow, have her arrange for a meeting at two."
KL_f01,KL_f03,A boring novel is a superb sleeping pill.
KL_f02,KL_f02,Kindergarten children decorate their classrooms for all holidays.
KL_f03,KL_f03,Was she just naturally sloppy about everything but her physical appearance?
KL_f04,KL_f04,Jeff thought you argued in favor of a centrifuge purchase.
KL_f05,KL_f05,The frightened child was gently subdued by his big brother.
KL_f06,KL_f08,Was she just naturally sloppy about everything but her physical appearance?
KL_f07,KL_f07,Military personnel are expected to obey government orders.
KL_f08,KL_f08,The frightened child was gently subdued by his big brother.
KL_f09,KL_f09,Special task forces rescue hostages from kidnappers.
KL_f10,KL_f10,Kindergarten children decorate their classrooms for all holidays.
KL_f11,KL_f11,The sermon emphasized the need for affirmative action.
KL_f12,KL_f15,The frightened child was gently subdued by his big brother.
KL_f13,KL_f13,The frightened child was gently subdued by his big brother.
KL_f14,KL_f14,Was she just naturally sloppy about everything but her physical appearance?
KL_f15,KL_f15,Kindergarten children decorate their classrooms for all holidays.
KL_h01,KL_h10,The frightened child was gently subdued by his big brother.
KL_h02,KL_h02,Is a relaxed home atmosphere enough to help her outgrow these traits?
KL_h03,KL_h10,Cory and Trish played tag with beach balls for hours.
KL_h04,KL_h09,"If Carol comes tomorrow, have her arrange for a meeting at two."
KL_h05,KL_h05,A boring novel is a superb sleeping pill.
KL_h06,KL_h06,Cory and Trish played tag with beach balls for hours.
KL_h07,KL_h07,The same shelter could be built into an embankment or below ground level.
KL_h08,KL_h08,Was she just naturally sloppy about everything but her physical appearance?
KL_h09,KL_h09,Military personnel are expected to obey government orders.
KL_h10,KL_h10,Cory and Trish played tag with beach balls for hours.
KL_h11,KL_h14,Special task forces rescue hostages from kidnappers.
KL_h12,KL_h12,Each untimely income loss coincided with the breakdown of a heating system part.
KL_h13,KL_h13,Call an ambulance for medical assistance.
KL_h14,KL_h14,Cory and Trish played tag with beach balls for hours.
KL_h15,KL_h15,Jeff thought you argued in favor of a centrifuge purchase.
KL_n01,KL_n18,The easygoing zoologist relaxed throughout the voyage.
KL_n02,KL_n17,Was she just naturally sloppy about everything but her physical appearance?
KL_n03,KL_n18,A boring novel is a superb sleeping pill.
KL_n04,KL_n28,The sermon emphasized the need for affirmative action.
KL_n05,KL_n05,The frightened child was gently subdued by his big brother.
KL_n06,KL_n22,The same shelter could be built into an embankment or below ground level.
KL_n07,KL_n18,Military personnel are expected to obey government orders.
KL_n08,KL_n08,Don't ask me to carry an oily rag like that.
KL_n09,KL_n09,Is a relaxed home atmosphere enough to help her outgrow these traits?
KL_n10,KL_n10,Don't ask me to carry an oily rag like that.
KL_n11,KL_n11,Kindergarten children decorate their classrooms for all holidays.
KL_n12,KL_n12,Each untimely income loss coincided with the breakdown of a heating system part.
KL_n13,KL_n18,"If Carol comes tomorrow, have her arrange for a meeting at two."
KL_n14,KL_n30,How much will it cost to do any necessary modernizing and redecorating?
KL_n15,KL_n28,The sermon emphasized the need for affirmative action.
KL_n16,KL_n18,Kindergarten children decorate their classrooms for all holidays.
KL_n17,KL_n17,The same shelter could be built into an embankment or below ground level.
KL_n18,KL_n18,Was she just naturally sloppy about everything but her physical appearance?
KL_n19,KL_n29,Jeff thought you argued in favor of a centrifuge purchase.
KL_n20,KL_n29,She had your dark suit in greasy wash water all year.
KL_n21,KL_n24,Special task forces rescue hostages from kidnappers.
KL_n22,KL_n22,Special task forces rescue hostages from kidnappers.
KL_n23,KL_n23,She had your dark suit in greasy wash water all year.
KL_n24,KL_n24,The tooth fairy forgot to come when Roger's tooth fell out.
KL_n25,KL_n29,Don't ask me to carry an oily rag like that.
KL_n26,KL_n26,Was she just naturally sloppy about everything but her physical appearance?
KL_n27,KL_n30,Don't ask me to carry an oily rag like that.
KL_n28,KL_n28,A boring novel is a superb sleeping pill.
KL_n29,KL_n29,The frightened child was gently subdued by his big brother.
KL_n30,KL_n30,Military personnel are expected to obey government orders.
KL_sa01,KL_sa06,The sermon emphasized the need for affirmative action.
KL_sa02,KL_sa02,The frightened child was gently subdued by his big brother.
KL_sa03,KL_sa06,Was she just naturally sloppy about everything but her physical appearance?
KL_sa04,KL_sa15,She had your dark suit in greasy wash water all year.
KL_sa05,KL_sa13,Cory and Trish played tag with beach balls for hours.
KL_sa06,KL_sa06,Each untimely income loss coincided with the breakdown of a heating system part.
KL_sa07,KL_sa07,Each untimely income loss coincided with the breakdown of a heating system part.
KL_sa08,KL_sa08,Call an ambulance for medical assistance.
KL_sa09,KL_sa09,The same shelter could be built into an embankment or below ground level.
KL_sa10,KL_sa10,Special task forces rescue hostages from kidnappers.
KL_sa11,KL_sa15,The tooth fairy forgot to come when Roger's tooth fell out.
KL_sa12,KL_sa12,Military personnel are expected to obey government orders.
KL_sa13,KL_sa13,Cory and Trish played tag with beach balls for hours.
KL_sa14,KL_sa14,The tooth fairy forgot to come when Roger's tooth fell out.
KL_sa15,KL_sa15,The sermon emphasized the need for affirmative action.
KL_su01,KL_su03,The frightened child was gently subdued by his big brother.
KL_su02,KL_su02,The tooth fairy forgot to come when Roger's tooth fell out.
KL_su03,KL_su03,The frightened child was gently subdued by his big brother.
KL_su04,KL_su04,Special task forces rescue hostages from kidnappers.
KL_su05,KL_su05,Jeff thought you argued in favor of a centrifuge purchase.
KL_su06,KL_su13,How much will it cost to do any necessary modernizing and redecorating?
KL_su07,KL_su07,Each untimely income loss coincided with the breakdown of a heating system part.
KL_su08,KL_su12,Special task forces rescue hostages from kidnappers.
KL_su09,KL_su09,Was she just naturally sloppy about everything but her physical appearance?
KL_su10,KL_su10,The sermon emphasized the need for affirmative action.
KL_su11,KL_su11,A boring novel is a superb sleeping pill.
KL_su12,KL_su12,Special task forces rescue hostages from kidnappers.
KL_su13,KL_su13,The fish began to leap frantically on the surface of the small lake.
KL_su14,KL_su14,Was she just naturally sloppy about everything but her physical appearance?
KL_su15,KL_su15,Jeff thought you argued in favor of a centrifuge purchase.
