id_sample_to_clone,id_sample_to_compare,text
crema-d_1003_neutral_IWWXX,crema-d_1003_neutral_IWWXX,I'm on my way to the meeting.
crema-d_1003_neutral_MTIXX,crema-d_1003_neutral_MTIXX,I think I have a doctor's appointment.
crema-d_1003_neutral_TAIXX,crema-d_1003_neutral_TAIXX,Don't forget a jacket.
crema-d_1003_neutral_TIEXX,crema-d_1003_neutral_TIEXX,The surface is slick.
crema-d_1003_neutral_TSIXX,crema-d_1003_neutral_TSIXX,I wonder what this is about.
crema-d_1003_neutral_WSIXX,crema-d_1003_neutral_WSIXX,It's eleven o'clock.
crema-d_1003_sadness_DFAXX,crema-d_1003_sadness_DFAXX,It's eleven o'clock.
crema-d_1003_sadness_IEOHI,crema-d_1003_sadness_IEOMD,The surface is slick.
crema-d_1003_sadness_IEOLO,crema-d_1003_sadness_IEOMD,Don't forget a jacket.
crema-d_1003_sadness_IEOMD,crema-d_1003_sadness_IEOMD,That is exactly what happened.
crema-d_1003_sadness_IOMXX,crema-d_1003_sadness_IOMXX,Maybe tomorrow it will be cold.
crema-d_1003_sadness_ITHXX,crema-d_1003_sadness_ITHXX,I would like a new alarm clock.
crema-d_1003_sadness_ITSXX,crema-d_1003_sadness_ITSXX,That is exactly what happened.
crema-d_1003_sadness_IWLXX,crema-d_1003_sadness_IWLXX,We'll stop in a couple of minutes.
crema-d_1003_sadness_IWWXX,crema-d_1003_sadness_IWWXX,I think I have a doctor's appointment.
crema-d_1003_sadness_MTIXX,crema-d_1003_sadness_MTIXX,I think I have a doctor's appointment.
crema-d_1003_sadness_TAIXX,crema-d_1003_sadness_TAIXX,Don't forget a jacket.
crema-d_1003_sadness_TIEXX,crema-d_1003_sadness_TIEXX,I think I've seen this before.
crema-d_1003_sadness_TSIXX,crema-d_1003_sadness_TSIXX,I'm on my way to the meeting.
crema-d_1003_sadness_WSIXX,crema-d_1003_sadness_WSIXX,I wonder what this is about.
crema-d_1004_anger_DFAXX,crema-d_1004_anger_DFAXX,We'll stop in a couple of minutes.
crema-d_1004_anger_IEOHI,crema-d_1004_anger_IEOMD,The airplane is almost full.
crema-d_1004_anger_IEOLO,crema-d_1004_anger_IEOMD,That is exactly what happened.
crema-d_1004_anger_IEOMD,crema-d_1004_anger_IEOMD,I think I have a doctor's appointment.
crema-d_1004_anger_IOMXX,crema-d_1004_anger_IOMXX,The surface is slick.
crema-d_1004_anger_ITHXX,crema-d_1004_anger_ITHXX,Don't forget a jacket.
crema-d_1004_anger_ITSXX,crema-d_1004_anger_ITSXX,I wonder what this is about.
crema-d_1004_anger_IWLXX,crema-d_1004_anger_IWLXX,It's eleven o'clock.
crema-d_1004_anger_IWWXX,crema-d_1004_anger_IWWXX,That is exactly what happened.
crema-d_1004_anger_MTIXX,crema-d_1004_anger_MTIXX,The surface is slick.
crema-d_1004_anger_TAIXX,crema-d_1004_anger_TAIXX,It's eleven o'clock.
crema-d_1004_anger_TIEXX,crema-d_1004_anger_TIEXX,I'm on my way to the meeting.
crema-d_1004_anger_TSIXX,crema-d_1004_anger_TSIXX,Don't forget a jacket.
crema-d_1004_anger_WSIXX,crema-d_1004_anger_WSIXX,I'm on my way to the meeting.
crema-d_1004_disgust_DFAXX,crema-d_1004_disgust_DFAXX,The airplane is almost full.
crema-d_1004_disgust_IEOHI,crema-d_1004_disgust_IEOMD,Maybe tomorrow it will be cold.
crema-d_1004_disgust_IEOLO,crema-d_1004_disgust_IEOMD,I'm on my way to the meeting.
crema-d_1004_disgust_IEOMD,crema-d_1004_disgust_IEOMD,I think I have a doctor's appointment.
crema-d_1004_disgust_IOMXX,crema-d_1004_disgust_IOMXX,That is exactly what happened.
crema-d_1004_disgust_ITHXX,crema-d_1004_disgust_ITHXX,We'll stop in a couple of minutes.
crema-d_1004_disgust_ITSXX,crema-d_1004_disgust_ITSXX,The airplane is almost full.
crema-d_1004_disgust_IWLXX,crema-d_1004_disgust_IWLXX,I think I've seen this before.
crema-d_1004_disgust_IWWXX,crema-d_1004_disgust_IWWXX,The airplane is almost full.
crema-d_1004_disgust_MTIXX,crema-d_1004_disgust_MTIXX,I wonder what this is about.
crema-d_1004_disgust_TAIXX,crema-d_1004_disgust_TAIXX,I think I have a doctor's appointment.
crema-d_1004_disgust_TIEXX,crema-d_1004_disgust_TIEXX,I would like a new alarm clock.
crema-d_1004_disgust_TSIXX,crema-d_1004_disgust_TSIXX,The airplane is almost full.
crema-d_1004_disgust_WSIXX,crema-d_1004_disgust_WSIXX,I think I've seen this before.
crema-d_1004_fear_DFAXX,crema-d_1004_fear_DFAXX,We'll stop in a couple of minutes.
crema-d_1004_fear_IEOHI,crema-d_1004_fear_IEOMD,Maybe tomorrow it will be cold.
crema-d_1004_fear_IEOLO,crema-d_1004_fear_IEOMD,That is exactly what happened.
crema-d_1004_fear_IEOMD,crema-d_1004_fear_IEOMD,Don't forget a jacket.
crema-d_1004_fear_IOMXX,crema-d_1004_fear_IOMXX,I would like a new alarm clock.
crema-d_1004_fear_ITHXX,crema-d_1004_fear_ITHXX,That is exactly what happened.
crema-d_1004_fear_ITSXX,crema-d_1004_fear_ITSXX,The airplane is almost full.
crema-d_1004_fear_IWLXX,crema-d_1004_fear_IWLXX,The surface is slick.
crema-d_1004_fear_IWWXX,crema-d_1004_fear_IWWXX,It's eleven o'clock.
crema-d_1004_fear_MTIXX,crema-d_1004_fear_MTIXX,We'll stop in a couple of minutes.
crema-d_1004_fear_TAIXX,crema-d_1004_fear_TAIXX,I wonder what this is about.
crema-d_1004_fear_TIEXX,crema-d_1004_fear_TIEXX,Maybe tomorrow it will be cold.
crema-d_1004_fear_TSIXX,crema-d_1004_fear_TSIXX,Maybe tomorrow it will be cold.
crema-d_1004_fear_WSIXX,crema-d_1004_fear_WSIXX,The airplane is almost full.
crema-d_1004_happiness_DFAXX,crema-d_1004_happiness_DFAXX,The airplane is almost full.
crema-d_1004_happiness_IEOHI,crema-d_1004_happiness_IEOMD,I'm on my way to the meeting.
crema-d_1004_happiness_IEOLO,crema-d_1004_happiness_IEOMD,That is exactly what happened.
crema-d_1004_happiness_IEOMD,crema-d_1004_happiness_IEOMD,The airplane is almost full.
crema-d_1004_happiness_IOMXX,crema-d_1004_happiness_IOMXX,I would like a new alarm clock.
crema-d_1004_happiness_ITHXX,crema-d_1004_happiness_ITHXX,I would like a new alarm clock.
crema-d_1004_happiness_ITSXX,crema-d_1004_happiness_ITSXX,We'll stop in a couple of minutes.
crema-d_1004_happiness_IWLXX,crema-d_1004_happiness_IWLXX,I wonder what this is about.
crema-d_1004_happiness_IWWXX,crema-d_1004_happiness_IWWXX,I would like a new alarm clock.
crema-d_1004_happiness_MTIXX,crema-d_1004_happiness_MTIXX,That is exactly what happened.
